surface	variant	hook	severity	seed	fg_psnr	gain	comp_fg_psnr	fg_mse	fg_ssim
normalization	instance	def get_normalization(): return 'instanc	medium	42	19.1913	6.2745	12.9168	0.016163	0.8659
normalization	none	def get_normalization(): return 'none' 	medium	42	20.4510	7.5341	12.9168	0.011219	0.8985
normalization	batch	def get_normalization(): return 'batch' 	medium	42	18.5559	5.6391	12.9168	0.019093	0.8742
normalization	rain	def get_normalization(): return 'rain' 	medium	42	19.5774	6.6606	12.9168	0.013011	0.8749
normalization	instance	def get_normalization(): return 'instanc	strong	42	17.6970	6.5714	11.1255	0.020909	0.8240
normalization	none	def get_normalization(): return 'none' 	strong	42	19.5195	8.3940	11.1255	0.013675	0.8681
normalization	batch	def get_normalization(): return 'batch' 	strong	42	18.3879	7.2623	11.1255	0.017405	0.8574
normalization	rain	def get_normalization(): return 'rain' 	strong	42	18.0762	6.9507	11.1255	0.018408	0.8356
loss	bg	def get_loss_config(): return {'mode':'b	mild	42	13.6374	-1.3792	15.0166	0.060020	0.7688
loss	global	def get_loss_config(): return {'mode':'g	mild	42	15.4207	0.4041	15.0166	0.038055	0.8324
loss	fg	def get_loss_config(): return {'mode':'f	mild	42	17.0099	1.9933	15.0166	0.025193	0.8384
loss	bg	def get_loss_config(): return {'mode':'b	medium	42	11.2130	-1.7038	12.9168	0.119853	0.7114
loss	global	def get_loss_config(): return {'mode':'g	medium	42	15.8541	2.9373	12.9168	0.033394	0.8101
loss	fg	def get_loss_config(): return {'mode':'f	medium	42	18.7615	5.8447	12.9168	0.016883	0.8800
loss	bg	def get_loss_config(): return {'mode':'b	strong	42	10.2347	-0.8909	11.1255	0.126644	0.6600
loss	global	def get_loss_config(): return {'mode':'g	strong	42	15.5241	4.3986	11.1255	0.035005	0.8019
loss	fg	def get_loss_config(): return {'mode':'f	strong	42	17.8035	6.6779	11.1255	0.020257	0.8448
fusion	noskip	def get_fusion_config(): return {'skips'	mild	42	19.6111	4.5945	15.0166	0.013731	0.8953
fusion	skip	def get_fusion_config(): return {'skips'	mild	42	20.2687	5.2521	15.0166	0.011308	0.8898
fusion	noskip	def get_fusion_config(): return {'skips'	medium	42	17.1538	4.2370	12.9168	0.023369	0.8568
fusion	skip	def get_fusion_config(): return {'skips'	medium	42	19.8499	6.9331	12.9168	0.012806	0.8896
fusion	noskip	def get_fusion_config(): return {'skips'	strong	42	12.8592	1.7336	11.1255	0.064762	0.7760
fusion	skip	def get_fusion_config(): return {'skips'	strong	42	18.1740	7.0485	11.1255	0.018442	0.8470
colorhead	residual	def get_color_head(): return 'residual' 	mild	42	17.1220	2.1054	15.0166	0.024643	0.8421
colorhead	affine_global	def get_color_head(): return 'affine_glo	mild	42	20.6286	5.6121	15.0166	0.010797	0.8925
colorhead	affine_spatial	def get_color_head(): return 'affine_spa	mild	42	18.2966	3.2800	15.0166	0.018011	0.8580
colorhead	residual	def get_color_head(): return 'residual' 	medium	42	18.8972	5.9804	12.9168	0.016256	0.8864
colorhead	affine_global	def get_color_head(): return 'affine_glo	medium	42	19.1930	6.2762	12.9168	0.015922	0.8594
colorhead	affine_spatial	def get_color_head(): return 'affine_spa	medium	42	19.7139	6.7970	12.9168	0.012923	0.8903
colorhead	residual	def get_color_head(): return 'residual' 	strong	42	18.3846	7.2591	11.1255	0.017760	0.8559
colorhead	affine_global	def get_color_head(): return 'affine_glo	strong	42	17.0512	5.9256	11.1255	0.024989	0.8104
colorhead	affine_spatial	def get_color_head(): return 'affine_spa	strong	42	16.4521	5.3265	11.1255	0.026796	0.8371
upsampling	nearest	def get_upsampling(): return 'nearest' 	mild	42	19.2873	4.2707	15.0166	0.013843	0.8933
upsampling	transpose	def get_upsampling(): return 'transpose'	mild	42	17.0832	2.0666	15.0166	0.024855	0.8393
upsampling	bilinear	def get_upsampling(): return 'bilinear' 	mild	42	19.2343	4.2177	15.0166	0.013941	0.8950
upsampling	nearest	def get_upsampling(): return 'nearest' 	medium	42	18.4801	5.5633	12.9168	0.017450	0.8767
upsampling	transpose	def get_upsampling(): return 'transpose'	medium	42	19.2670	6.3502	12.9168	0.014322	0.8874
upsampling	bilinear	def get_upsampling(): return 'bilinear' 	medium	42	16.9910	4.0741	12.9168	0.024134	0.8460
upsampling	nearest	def get_upsampling(): return 'nearest' 	strong	42	18.0886	6.9630	11.1255	0.018418	0.8514
upsampling	transpose	def get_upsampling(): return 'transpose'	strong	42	18.6078	7.4823	11.1255	0.016604	0.8534
upsampling	bilinear	def get_upsampling(): return 'bilinear' 	strong	42	17.7163	6.5908	11.1255	0.019892	0.8421
dilation	d1	def get_dilation(): return 1 	mild	42	20.6394	5.6228	15.0166	0.010822	0.8987
dilation	d4	def get_dilation(): return 4 	mild	42	19.9706	4.9540	15.0166	0.012672	0.8933
dilation	d8	def get_dilation(): return 8 	mild	42	18.7541	3.7375	15.0166	0.016973	0.8817
dilation	d1	def get_dilation(): return 1 	medium	42	19.4730	6.5562	12.9168	0.014814	0.8821
dilation	d4	def get_dilation(): return 4 	medium	42	19.5293	6.6124	12.9168	0.014025	0.8836
dilation	d8	def get_dilation(): return 8 	medium	42	19.6543	6.7374	12.9168	0.013385	0.8847
dilation	d1	def get_dilation(): return 1 	strong	42	18.4110	7.2854	11.1255	0.017677	0.8513
dilation	d4	def get_dilation(): return 4 	strong	42	17.3559	6.2303	11.1255	0.024226	0.8336
dilation	d8	def get_dilation(): return 8 	strong	42	18.1091	6.9835	11.1255	0.018973	0.8520
attention	off	def get_attention_config(): return {'ena	mild	42	19.1262	4.1096	15.0166	0.015375	0.8898
attention	on	def get_attention_config(): return {'ena	mild	42	18.3139	3.2973	15.0166	0.017070	0.8901
attention	off	def get_attention_config(): return {'ena	medium	42	19.1480	6.2312	12.9168	0.015155	0.8886
attention	on	def get_attention_config(): return {'ena	medium	42	20.0418	7.1250	12.9168	0.012381	0.8897
attention	off	def get_attention_config(): return {'ena	strong	42	18.0627	6.9372	11.1255	0.018970	0.8553
attention	on	def get_attention_config(): return {'ena	strong	42	18.5003	7.3748	11.1255	0.017049	0.8500
activation	identity	def get_activation(): return 'identity' 	mild	42	16.2085	1.1919	15.0166	0.034591	0.8504
activation	relu	def get_activation(): return 'relu' 	mild	42	20.1430	5.1265	15.0166	0.011977	0.8974
activation	gelu	def get_activation(): return 'gelu' 	mild	42	15.1852	0.1686	15.0166	0.041468	0.8392
activation	identity	def get_activation(): return 'identity' 	medium	42	14.9876	2.0707	12.9168	0.044424	0.8147
activation	relu	def get_activation(): return 'relu' 	medium	42	19.9178	7.0009	12.9168	0.012582	0.8922
activation	gelu	def get_activation(): return 'gelu' 	medium	42	18.1956	5.2788	12.9168	0.018720	0.8738
activation	identity	def get_activation(): return 'identity' 	strong	42	13.5606	2.4351	11.1255	0.060898	0.7539
activation	relu	def get_activation(): return 'relu' 	strong	42	17.4226	6.2971	11.1255	0.021701	0.8422
activation	gelu	def get_activation(): return 'gelu' 	strong	42	17.7297	6.6042	11.1255	0.020679	0.8408
bgstats	off	def get_bgstats_config(): return {'enabl	mild	42	20.3367	5.3201	15.0166	0.011699	0.8977
bgstats	on	def get_bgstats_config(): return {'enabl	mild	42	19.0484	4.0318	15.0166	0.015918	0.8719
bgstats	off	def get_bgstats_config(): return {'enabl	medium	42	19.5382	6.6214	12.9168	0.013625	0.8883
bgstats	on	def get_bgstats_config(): return {'enabl	medium	42	18.1029	5.1860	12.9168	0.020226	0.8597
bgstats	off	def get_bgstats_config(): return {'enabl	strong	42	17.5348	6.4092	11.1255	0.021757	0.8443
bgstats	on	def get_bgstats_config(): return {'enabl	strong	42	18.1942	7.0687	11.1255	0.018195	0.8351
inputnorm	none	def get_input_norm(): return 'none' 	mild	42	20.0497	5.0332	15.0166	0.011856	0.8974
inputnorm	bg_whiten	def get_input_norm(): return 'bg_whiten'	mild	42	11.1713	-3.8453	15.0166	0.108479	0.5173
inputnorm	none	def get_input_norm(): return 'none' 	medium	42	18.9652	6.0483	12.9168	0.015599	0.8857
inputnorm	bg_whiten	def get_input_norm(): return 'bg_whiten'	medium	42	10.9176	-1.9992	12.9168	0.118152	0.4725
inputnorm	none	def get_input_norm(): return 'none' 	strong	42	18.1179	6.9924	11.1255	0.018540	0.8498
inputnorm	bg_whiten	def get_input_norm(): return 'bg_whiten'	strong	42	10.6764	-0.4491	11.1255	0.116609	0.5080
